ZIP CODE,tc_1# of Properties,tc_1Finance FY'2017 Market Value Total,tc_1Average Market Value,tc_1Finance FY'2017 Assessed Value Land,tc_1Finance FY'2017 Assessed Value Total,tc_1Average Assessed Value,tc_1Finance FY'2017 Exempt Value Land,tc_1Finance FY'2017 Exempt Value Total,"tc_1Finance FY'2017 Taxable Assessed Value 
(Assessed Value minus Exempt Value)","tc_1FY'2017 Taxes
(Taxable Assessed Value * Tax Rate)",tc_1FY'2017 Average Effective Tax Rate (Taxes ÷ Market Value),tc_1FY'2017 Median Effective Tax Rate,"tc_1FY'2017 Average Assessment Ratio
(Assessed Value ÷ Market Value)",tc_1FY'2017 Median Actual Assessment Ratio,tc_1FY'2017 Taxes w/out Exemptions,tc_1FY'2017 Average Taxes w/out Exemptions,tc_1FY'2017 Average Effective Tax Rate w/out Exemptions,tc_1FY'2017 Median Effective Tax Rate w/out Exemption,tc_2 # OF PROPERTIES,tc_2 FY'2017 MARKET VALUE LAND,tc_2 FY'2017 MARKET VALUE TOTAL,tc_2 FY'2017 ASSESSED VALUE LAND,tc_2 FY'2017 ASSESSED VALUE TOTAL,tc_2 FY'2017 EXEMPT VALUE LAND,tc_2 FY'2017 EXEMPT VALUE TOTAL,tc_2 FY'2017 ACTUAL ASSESSED VALUE LAND,tc_2 FY'2017 ACTUAL ASSESSED VALUE TOTAL,tc_2 Average Actual Assessment Ratio,tc_2 Median Actual Assessment Ratio,tc_2 FY'2017 ACTUAL EXEMPT VALUE LAND,tc_2 FY'2017 ACTUAL EXEMPT VALUE TOTAL,tc_2 TOTAL UNITS,tc_2 RESIDENTIAL UNITS,tc_2 LAND SQUARE FEET,tc_2 GROSS SQUARE FEET,tc_2 Taxable Assessed Value,tc_2 Total Taxes,tc_2 Average Taxable Effective Tax Rate,tc_2 Median Taxable Effective Tax Rate,tc_2 Taxes w/out Exemption,tc_2 Average Effective Tax Rate w/out Exemption,tc_2 Median Effective Tax Rate w/out Exemption,tc_2 Average Market Value Per Residential Unit,tc_2 Average Market Value Per Gross Square Foot,tc_2 Actual Assessed Value Per Residential Unit,Actual Assessed Value Per Gross Square Foot,Taxes w/out Exemption Per Residential Unit,Taxes w/out Exemption Per Gross Square Foot,White,Non-White,Black or African American,Asian,Hispanic Origin of Any Race
10001,19,129619000,6822053,1542155,2699429,142075,4650,4650,2694779,538713,0.0042,0.0041,0.0208,0.0207,539643,28402,0.0042,0.0041,"1,471","$780,125,048 ","$4,538,886,185 ","$290,671,105 ","$1,658,138,801 ","$81,524,077 ","$686,730,527 ","$320,717,141 ","$1,922,824,968 ",42.36%,45.00%,"$94,909,401 ","$795,027,433 ","20,230","19,842","8,643,407","29,555,835","963,988,316","124,277,374",2.74%,4.63%,"247,890,595",5.46%,5.80%,"$228,751 ",$154 ,"$96,907 ",$65 ,"$12,493 ",$8.39 ,61%,39%,11%,18%,17%
10002,99,234359873,2367271,1614510,4494374,45398,196933,351862,4142512,828130,0.0035,0.0044,0.0192,0.0241,898470,9075,0.0038,0.0048,"2,480","$1,119,441,624 ","$4,725,893,887 ","$433,821,548 ","$1,705,825,116 ","$194,114,612 ","$763,757,475 ","$449,310,179 ","$1,983,026,564 ",41.96%,45.00%,"$196,721,477 ","$875,298,130 ","38,109","36,390","312,106,571","38,324,321","941,393,101","121,364,399",2.57%,4.51%,"255,651,785",5.41%,5.80%,"$129,868 ",$123 ,"$54,494 ",$52 ,"$7,025 ",$6.67 ,31%,69%,8%,44%,26%
10003,192,1364405310,7106278,14019743,33307160,173475,298995,617138,32690022,6535062,0.0048,0.0046,0.0244,0.0235,6658434,34679,0.0049,0.0047,"3,735","$1,598,012,608 ","$8,310,198,962 ","$521,608,957 ","$2,700,093,121 ","$33,872,345 ","$198,475,327 ","$537,001,788 ","$3,135,021,435 ",37.72%,45.00%,"$34,665,632 ","$232,396,375 ","33,597","32,181","61,816,633","37,270,262","2,498,831,015","322,149,294",3.88%,4.74%,"404,166,963",4.86%,5.80%,"$258,233 ",$223 ,"$97,418 ",$84 ,"$12,559 ",$10.84 ,77%,23%,5%,13%,7%
10004,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,833,"$86,698,487 ","$644,247,080 ","$33,694,636 ","$239,754,510 ","$326,200 ","$48,617,039 ","$33,694,659 ","$266,505,140 ",41.37%,45.00%,"$328,349 ","$51,090,124 ","2,079","2,046","394,690","9,062,172","191,013,700","24,625,486",3.82%,3.25%,"34,357,843",5.33%,5.80%,"$314,881 ",$71 ,"$130,257 ",$29 ,"$16,793 ",$3.79 ,77%,23%,2%,18%,
10005,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"1,650","$371,514,875 ","$1,650,726,876 ","$166,694,449 ","$648,149,892 ","$4,251,656 ","$143,404,591 ","$166,694,449 ","$738,072,628 ",44.71%,45.00%,"$4,252,110 ","$146,641,252 ","5,927","5,880","504,716","11,467,294","504,744,165","65,071,618",3.94%,3.35%,"95,152,323",5.76%,5.80%,"$280,736 ",$144 ,"$125,523 ",$64 ,"$16,182 ",$8.30 ,75%,23%,4%,16%,
10006,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,826,"$101,857,514 ","$588,687,966 ","$45,183,106 ","$225,926,524 ","$275,650 ","$28,342,340 ","$45,076,938 ","$263,051,395 ",44.68%,45.00%,"$275,650 ","$29,812,845 ","2,722","2,692","323,695","5,985,770","197,584,184","25,472,553",4.33%,5.01%,"33,912,586",5.76%,5.80%,"$218,681 ",$98 ,"$97,716 ",$44 ,"$12,598 ",$5.67 ,72%,23%,3%,18%,
10007,4,29586000,7396500,363700,873810,218453,0,0,873810,174683,0.0059,0.0054,0.0295,0.0271,174683,43671,0.0059,0.0054,"1,839","$268,915,290 ","$1,683,011,931 ","$108,061,600 ","$660,503,121 ","$3,735,539 ","$122,876,203 ","$109,410,549 ","$713,241,541 ",42.38%,45.00%,"$3,967,477 ","$138,529,962 ","4,196","4,039","7,638,825","13,445,556","515,779,777","66,494,329",3.95%,4.52%,"91,951,099",5.46%,5.80%,"$416,690 ",$125 ,"$176,589 ",$53 ,"$22,766 ",$6.84 ,67%,33%,7%,17%,8%
10009,55,274333293,4987878,1356546,2975507,54100,41947,41947,2933560,586448,0.0021,0.0022,0.0108,0.011,594834,10815,0.0022,0.0022,"1,898","$1,207,190,664 ","$5,835,476,144 ","$447,809,048 ","$1,850,685,006 ","$137,400,763 ","$525,438,213 ","$449,011,850 ","$2,264,977,748 ",38.81%,45.00%,"$137,626,814 ","$645,693,880 ","36,861","35,895","10,305,660","32,564,643","1,324,009,544","170,691,310",2.93%,3.72%,"292,000,931",5.00%,5.80%,"$162,571 ",$179 ,"$63,100 ",$70 ,"$8,135 ",$8.97 ,60%,40%,7%,15%,26%
10010,22,118369000,5380409,2062795,3561951,161907,15270,15270,3546681,709017,0.006,0.0057,0.0301,0.0287,712070,32367,0.006,0.0057,"2,806","$777,864,519 ","$4,503,620,195 ","$318,439,088 ","$1,627,932,701 ","$70,903,783 ","$371,558,022 ","$320,059,519 ","$1,890,810,974 ",41.98%,45.00%,"$70,794,049 ","$441,158,999 ","17,421","16,978","4,249,120","25,333,202","1,255,103,862","161,807,990",3.59%,4.71%,"243,763,351",5.41%,5.80%,"$265,262 ",$178 ,"$111,368 ",$75 ,"$14,358 ",$9.62 ,72%,28%,6%,15%,11%
10011,397,3334980498,8400455,27164475,74155561,186790,441958,819725,73335836,14660567,0.0044,0.0042,0.0222,0.0211,14824438,37341,0.0044,0.0042,"6,469","$1,658,433,031 ","$9,423,761,973 ","$560,196,022 ","$3,160,000,320 ","$45,974,858 ","$443,607,317 ","$571,520,344 ","$3,632,112,779 ",38.54%,45.00%,"$46,894,794 ","$527,566,593 ","35,548","34,492","20,682,147","45,709,673","2,715,577,779","350,092,287",3.71%,4.58%,"468,251,979",4.97%,5.80%,"$273,216 ",$206 ,"$105,303 ",$79 ,"$13,576 ",$10.24 ,79%,21%,4%,10%,10%
10012,81,562743695,6947453,4415884,13341244,164707,160788,297264,13043980,2607622,0.0046,0.0042,0.0237,0.0223,2667048,32927,0.0047,0.0045,"2,156","$826,304,104 ","$4,555,806,259 ","$216,973,667 ","$1,266,938,225 ","$10,153,977 ","$95,526,898 ","$220,716,079 ","$1,474,541,338 ",32.37%,45.00%,"$10,328,336 ","$109,341,266 ","14,169","13,155","6,627,811","19,165,067","1,170,966,042","150,960,942",3.31%,4.55%,"190,097,869",4.17%,5.80%,"$346,317 ",$238 ,"$112,090 ",$77 ,"$14,451 ",$9.92 ,76%,24%,2%,15%,6%
10013,107,615977985,5756804,6724554,15452514,144416,25080,25080,15427434,3084098,0.005,0.005,0.0251,0.0251,3089112,28870,0.005,0.005,"5,123","$1,032,575,281 ","$5,691,142,670 ","$323,587,511 ","$1,806,649,677 ","$18,826,954 ","$206,106,862 ","$324,909,395 ","$2,042,031,482 ",35.88%,45.00%,"$19,675,597 ","$240,572,659 ","16,527","15,291","15,418,451","34,913,855","1,599,544,372","206,213,260",3.62%,4.63%,"263,258,699",4.63%,5.80%,"$372,189 ",$163 ,"$133,545 ",$58 ,"$17,217 ",$7.54 ,56%,44%,4%,34%,7%
10014,658,5468459437,8310729,37732470,110693153,168227,709082,1508513,109184640,21827101,0.004,0.0039,0.0202,0.0194,22128668,33630,0.004,0.0039,"3,333","$1,355,480,874 ","$5,586,197,223 ","$466,615,086 ","$1,829,677,375 ","$48,962,343 ","$191,486,483 ","$466,903,427 ","$2,116,801,296 ",37.89%,45.00%,"$49,061,256 ","$221,154,092 ","22,282","21,459","12,458,139","23,751,717","1,637,634,154","211,123,795",3.78%,4.74%,"272,898,023",4.89%,5.80%,"$260,320 ",$235 ,"$98,644 ",$89 ,"$12,717 ",$11.49 ,89%,11%,2%,5%,7%
10016,155,788063050,5084278,16561394,28368315,183021,745672,1095058,27273257,5452197,0.0069,0.0074,0.036,0.0374,5671110,36588,0.0072,0.0075,"8,557","$1,831,954,111 ","$8,985,976,855 ","$713,973,716 ","$3,304,885,801 ","$52,621,789 ","$311,576,814 ","$728,027,964 ","$3,722,731,158 ",41.43%,45.00%,"$59,884,594 ","$349,265,437 ","39,993","38,835","47,930,259","50,244,664","2,992,633,047","385,810,252",4.29%,5.10%,"479,934,501",5.34%,5.80%,"$231,389 ",$179 ,"$95,860 ",$74 ,"$12,358 ",$9.55 ,72%,28%,4%,16%,9%
10017,40,276933000,6923325,4265901,9653051,241326,479860,939655,8713396,1741895,0.0063,0.0069,0.0349,0.0352,1929741,48244,0.007,0.007,"3,338","$640,454,871 ","$2,975,810,094 ","$274,110,480 ","$1,173,766,947 ","$14,151,108 ","$67,832,078 ","$278,265,518 ","$1,317,219,229 ",44.26%,45.00%,"$14,774,664 ","$75,274,511 ","13,112","12,879","15,578,964","24,646,884","1,105,934,869","142,577,123",4.79%,5.08%,"169,815,903",5.71%,5.80%,"$231,059 ",$121 ,"$102,277 ",$53 ,"$13,185 ",$6.89 ,73%,27%,3%,22%,7%
10018,4,27033000,6758250,194586,465179,116295,3380,3380,461799,92318,0.0034,0.0032,0.0172,0.0163,92994,23248,0.0034,0.0033,524,"$283,541,337 ","$1,669,010,233 ","$107,140,920 ","$629,992,665 ","$42,245,254 ","$335,933,875 ","$113,411,991 ","$701,385,344 ",42.02%,45.00%,"$43,686,158 ","$366,103,266 ","7,345","7,083","3,931,917","11,673,750","293,963,670","37,897,796",2.27%,2.85%,"90,422,599",5.42%,5.80%,"$235,636 ",$143 ,"$99,024 ",$60 ,"$12,766 ",$7.75 ,56%,44%,6%,31%,18%
10019,16,81015000,5063438,963212,2249727,140608,11370,11370,2238357,447470,0.0055,0.0056,0.0278,0.0279,449743,28109,0.0056,0.0056,"8,467","$2,117,477,443 ","$9,107,293,202 ","$862,407,962 ","$3,378,861,012 ","$76,252,550 ","$700,614,980 ","$893,303,741 ","$3,909,721,333 ",42.93%,45.00%,"$79,864,967 ","$800,289,702 ","40,550","39,619","88,516,765","64,398,438","2,673,446,660","344,660,743",3.78%,4.97%,"504,041,274",5.53%,5.80%,"$229,872 ",$141 ,"$98,683 ",$61 ,"$12,722 ",$7.83 ,72%,28%,6%,14%,17%
10020,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,#DIV/0!,0.00%,$0 ,$0 ,0,0,"205,972","5,164,103",0,0,#DIV/0!,0.00%,0,#DIV/0!,0.00%,#DIV/0!,$0 ,#DIV/0!,$0 ,#DIV/0!,$0.00 ,,,,,
10021,307,4827850987,15725899,54662770,138998148,452763,4837482,13771267,125226881,25034106,0.0052,0.0057,0.0288,0.0298,27787120,90512,0.0058,0.006,"3,740","$2,067,828,302 ","$8,970,125,094 ","$858,097,856 ","$3,388,886,094 ","$49,596,333 ","$153,291,044 ","$865,414,241 ","$3,837,537,804 ",42.78%,45.00%,"$50,725,509 ","$169,421,495 ","29,773","28,886","25,284,367","42,130,156","3,230,441,333","416,468,497",4.64%,5.07%,"494,735,374",5.52%,5.80%,"$310,535 ",$213 ,"$132,851 ",$91 ,"$17,127 ",$11.74 ,84%,16%,3%,10%,6%
10022,110,797448719,7249534,16243492,32386922,294427,2238881,3958826,28428096,5683061,0.0071,0.0078,0.0406,0.0413,6474470,58859,0.0081,0.0083,"5,191","$1,866,548,985 ","$8,143,139,699 ","$780,459,816 ","$3,119,398,153 ","$52,702,598 ","$115,656,235 ","$788,936,904 ","$3,536,869,336 ",43.43%,45.00%,"$58,303,370 ","$129,513,251 ","47,996","47,210","24,866,087","53,213,086","3,000,913,153","386,877,724",4.75%,5.02%,"455,973,195",5.60%,5.80%,"$172,488 ",$153 ,"$74,918 ",$66 ,"$9,658 ",$8.57 ,86%,14%,3%,10%,7%
10023,123,1446121413,11757085,12315016,33209446,269995,140115,147482,33061964,6609417,0.0046,0.0043,0.023,0.022,6638900,53975,0.0046,0.0044,"8,622","$2,891,598,397 ","$11,640,923,771 ","$1,123,045,834 ","$4,247,980,345 ","$73,269,271 ","$391,168,801 ","$1,158,263,534 ","$4,896,243,592 ",42.06%,45.00%,"$87,727,596 ","$468,713,986 ","44,252","43,631","54,831,661","65,736,667","3,855,220,907","497,015,079",4.27%,5.01%,"631,223,724",5.42%,5.80%,"$266,804 ",$177 ,"$112,219 ",$74 ,"$14,467 ",$9.60 ,83%,17%,4%,10%,9%
10024,302,2347511495,7773217,27085545,59353542,196535,379094,677507,58676035,11729926,0.005,0.0047,0.0253,0.0233,11865367,39289,0.0051,0.0047,"4,702","$2,364,052,818 ","$8,952,898,149 ","$865,948,028 ","$3,082,306,494 ","$52,838,667 ","$176,145,393 ","$872,429,950 ","$3,505,932,067 ",39.16%,45.00%,"$54,051,198 ","$191,489,556 ","36,721","35,495","11,937,931","47,812,847","2,905,507,496","374,578,026",4.18%,4.86%,"451,984,762",5.05%,5.80%,"$252,230 ",$187 ,"$98,773 ",$73 ,"$12,734 ",$9.45 ,81%,19%,6%,6%,12%
10025,173,988281951,5712612,8928355,20386092,117839,101953,101953,20284139,4055002,0.0041,0.0038,0.0206,0.0191,4075384,23557,0.0041,0.0038,"7,041","$1,510,540,245 ","$7,408,995,500 ","$606,397,571 ","$2,641,686,763 ","$135,994,280 ","$578,686,972 ","$605,789,735 ","$3,132,291,686 ",42.28%,45.00%,"$136,131,556 ","$683,065,654 ","48,644","47,892","124,674,645","61,124,629","2,062,731,434","265,927,336",3.59%,4.83%,"403,815,044",5.45%,5.80%,"$154,702 ",$121 ,"$65,403 ",$51 ,"$8,432 ",$6.61 ,65%,35%,16%,10%,22%
10026,209,455585493,2179835,2459161,8253502,39490,231650,1583074,6670428,1333485,0.0029,0.003,0.0181,0.0189,1649958,7895,0.0036,0.0038,"3,222","$355,584,525 ","$1,719,929,589 ","$116,789,531 ","$605,619,551 ","$59,009,177 ","$414,578,629 ","$122,480,881 ","$710,489,722 ",41.31%,45.00%,"$62,064,580 ","$492,654,595 ","22,557","22,231","12,070,745","20,910,789","190,503,511","24,559,713",1.43%,0.68%,"91,596,335",5.33%,5.80%,"$77,366 ",$82 ,"$31,959 ",$34 ,"$4,120 ",$4.38 ,24%,76%,57%,4%,21%
10027,592,1176461349,1987266,6999869,24547401,41465,593869,3968311,20579090,4113966,0.0035,0.003,0.0209,0.0204,4907271,8289,0.0042,0.0041,"1,932","$428,744,344 ","$2,289,080,046 ","$128,969,120 ","$805,715,217 ","$68,864,389 ","$494,140,973 ","$134,329,092 ","$932,742,233 ",40.75%,45.00%,"$70,934,562 ","$566,429,751 ","27,341","26,758","7,592,869","26,318,561","311,375,783","40,142,566",1.75%,1.03%,"120,249,129",5.25%,5.80%,"$85,548 ",$87 ,"$34,858 ",$35 ,"$4,494 ",$4.57 ,29%,71%,42%,9%,24%
10028,201,2029800039,10098508,24796674,59894871,297984,1479308,2666905,57227966,11440443,0.0056,0.0054,0.0295,0.0274,11973584,59570,0.0059,0.0055,"3,095","$1,805,744,415 ","$8,053,988,206 ","$728,549,594 ","$3,011,456,965 ","$35,473,926 ","$116,956,085 ","$729,186,376 ","$3,410,583,576 ",42.35%,45.00%,"$36,389,659 ","$130,120,248 ","31,377","30,362","8,756,967","39,122,736","2,886,183,437","372,086,769",4.62%,4.96%,"439,692,435",5.46%,5.80%,"$265,265 ",$206 ,"$112,331 ",$87 ,"$14,482 ",$11.24 ,88%,12%,1%,7%,5%
10029,124,191199388,1541931,1714502,4123983,33258,110707,268508,3855475,770748,0.004,0.0036,0.0216,0.0186,824425,6649,0.0043,0.0037,"1,943","$721,364,494 ","$3,757,190,819 ","$253,699,633 ","$1,295,780,563 ","$173,216,009 ","$828,932,558 ","$265,595,359 ","$1,537,863,135 ",40.93%,45.00%,"$176,931,719 ","$989,222,123 ","35,218","34,251","11,460,969","33,782,538","465,597,970","60,024,890",1.60%,2.28%,"198,261,315",5.28%,5.80%,"$109,696 ",$111 ,"$44,900 ",$46 ,"$5,788 ",$5.87 ,32%,68%,31%,9%,48%
10030,325,511548324,1573995,3881876,11083343,34103,505341,1446278,9637065,1926546,0.0038,0.0033,0.0217,0.0193,2215671,6817,0.0043,0.0039,"1,315","$236,540,387 ","$976,233,383 ","$69,750,588 ","$324,439,953 ","$34,668,546 ","$204,480,732 ","$71,060,968 ","$381,302,077 ",39.06%,45.00%,"$34,782,080 ","$241,246,545 ","13,315","12,960","3,648,718","11,849,071","119,746,142","15,437,673",1.58%,0.98%,"49,157,464",5.04%,5.80%,"$75,327 ",$82 ,"$29,421 ",$32 ,"$3,793 ",$4.15 ,13%,87%,70%,2%,22%
10031,466,863835111,1853723,4981068,15383666,33012,463536,1038526,14345140,2867737,0.0033,0.0032,0.0178,0.0166,3075349,6599,0.0036,0.0033,"1,646","$245,005,350 ","$1,626,857,019 ","$77,027,528 ","$549,165,525 ","$25,001,736 ","$182,867,726 ","$78,907,071 ","$654,135,960 ",40.21%,45.00%,"$25,248,122 ","$223,559,776 ","23,254","22,582","6,574,825","21,842,584","365,796,169","47,158,442",2.90%,4.03%,"84,331,208",5.18%,5.80%,"$72,042 ",$74 ,"$28,967 ",$30 ,"$3,734 ",$3.86 ,28%,72%,34%,3%,53%
10032,183,242684000,1326142,2044945,5495012,30027,227429,499118,4995894,998729,0.0041,0.0042,0.0226,0.0222,1098508,6003,0.0045,0.0044,"1,156","$212,777,465 ","$1,451,840,006 ","$82,524,467 ","$520,549,450 ","$21,064,779 ","$127,472,270 ","$85,559,532 ","$631,773,573 ",43.52%,45.00%,"$21,939,491 ","$153,437,729 ","21,884","21,298","9,345,097","21,750,269","392,465,901","50,596,704",3.49%,4.51%,"81,448,249",5.61%,5.80%,"$68,168 ",$67 ,"$29,664 ",$29 ,"$3,824 ",$3.74 ,30%,70%,22%,3%,67%
10033,52,43815000,842596,770608,1353607,26031,81366,141708,1211899,242271,0.0055,0.0054,0.0309,0.0286,270600,5204,0.0062,0.0057,729,"$180,753,428 ","$1,384,767,989 ","$74,777,081 ","$529,639,632 ","$6,900,107 ","$35,510,494 ","$79,329,721 ","$618,148,041 ",44.64%,45.00%,"$7,113,652 ","$42,682,979 ","20,713","20,037","4,984,726","20,260,918","492,747,312","63,524,983",4.59%,4.66%,"79,691,645",5.75%,5.80%,"$69,111 ",$68 ,"$30,850 ",$31 ,"$3,977 ",$3.93 ,42%,58%,9%,3%,69%
10034,31,27189000,877065,721351,1041558,33599,69093,78362,963196,192553,0.0071,0.0081,0.0383,0.0434,208218,6717,0.0077,0.0087,429,"$110,340,996 ","$951,721,002 ","$48,143,342 ","$364,193,556 ","$9,635,549 ","$57,768,120 ","$48,573,544 ","$425,752,186 ",44.73%,45.00%,"$9,918,302 ","$68,556,173 ","16,080","15,734","3,885,247","13,876,970","306,170,916","39,471,554",4.15%,4.69%,"54,887,972",5.77%,5.80%,"$60,488 ",$69 ,"$27,059 ",$31 ,"$3,488 ",$3.96 ,36%,64%,8%,2%,76%
10035,290,443914250,1530739,4301319,11502287,39663,354473,3594875,7907412,1580771,0.0036,0.0033,0.0259,0.0278,2299422,7929,0.0052,0.0056,"1,133","$273,918,162 ","$1,317,405,393 ","$83,222,311 ","$447,356,771 ","$47,572,792 ","$319,156,217 ","$89,601,303 ","$514,012,064 ",39.02%,45.00%,"$48,900,519 ","$366,559,694 ","15,630","15,189","4,703,317","14,245,727","127,259,925","16,406,350",1.25%,0.45%,"66,266,435",5.03%,5.80%,"$86,734 ",$92 ,"$33,841 ",$36 ,"$4,363 ",$4.65 ,21%,79%,42%,5%,46%
10036,32,179710000,5615938,1919780,4940500,154391,9300,9300,4931200,985796,0.0055,0.0054,0.0275,0.0268,987655,30864,0.0055,0.0054,"3,014","$897,769,816 ","$4,760,586,843 ","$302,198,859 ","$1,668,894,243 ","$83,826,300 ","$770,985,016 ","$350,408,211 ","$1,949,199,790 ",40.94%,45.00%,"$116,846,664 ","$926,207,500 ","22,650","22,207","10,308,459","36,152,118","892,282,181","115,033,019",2.42%,4.01%,"251,290,837",5.28%,5.80%,"$214,373 ",$132 ,"$87,774 ",$54 ,"$11,316 ",$6.95 ,67%,33%,7%,17%,17%
